Test Case	Category	plcsharp	plfsharp	plv8	plpython	plpgsql	pljava	plperl	pllua	pltcl	plr
sumNullArgSmallInt-1	NullInteger	0.678166	0.715625	1.298751	0.864694	0.635981	0.953513	0.764268	0.984386	0.857246	1.319615
sumNullArgSmallInt-2	NullInteger	0.901503	0.917966	1.539185	1.062914	0.846162	1.239679	1.225911	1.175032	1.064141	1.582083
sumNullArgSmallInt-3	NullInteger	0.871583	0.871043	1.502838	1.092145	0.855074	1.191927	1.232063	1.151478	1.121008	1.584621
sumNullArgSmallInt-4	NullInteger	0.968306	0.943224	1.578528	1.16521	0.927205	1.322935	1.154808	1.272636	1.482015	1.700133
sumNullArgBigInt-1	NullInteger	0.694747	0.727769	1.305833	0.839517	0.61698	0.912599	0.799589	0.985168	0.882518	1.34133
sumNullArgBigInt-2	NullInteger	0.792048	0.841381	1.4324	0.980128	0.735634	1.107728	1.112435	1.121123	1.000085	1.495609
checkedSumNullArgInt-1	NullInteger	0.739538	0.693644	1.308089	0.72598	0.674429	0.859543	0.708401	0.847843	0.867131	1.233436
checkedSumNullArgInt-2	NullInteger	0.676119	0.694386	1.368147	0.743288	0.659185	0.980619	0.735342	0.836998	0.911509	1.275911
checkedSumNullArgInt-3	NullInteger	0.701508	0.723006	1.311225	0.746646	0.680846	0.964248	0.736553	0.847512	0.886814	1.320243
checkedSumNullArgInt-4	NullInteger	0.700534	0.700048	1.307454	0.802642	0.680949	1.051288	0.830716	0.966912	1.141047	1.478373
checkedSumNullArgSmallInt-1	NullInteger	0.706757	0.721048	1.281409	0.715668	0.685283	0.858858	0.684123	0.836029	0.878216	1.253687
checkedSumNullArgSmallInt-2	NullInteger	0.902376	0.890632	1.490284	0.916251	0.840462	1.184668	0.910702	1.009532	1.094581	1.474513
checkedSumNullArgSmallInt-3	NullInteger	0.87655	0.898231	1.559128	0.919143	0.855607	1.161937	0.952693	0.992894	1.122066	1.504576
checkedSumNullArgSmallInt-4	NullInteger	1.005849	1.063065	1.67205	1.16909	0.926855	1.313182	1.124886	1.264467	1.469268	1.82338
checkedSumNullArgBigInt-1	NullInteger	0.678605	0.725774	1.280525	0.695664	0.640962	0.847872	0.645702	0.835428	0.845921	1.240466
checkedSumNullArgBigInt-2	NullInteger	0.798604	0.810268	1.440697	0.819183	0.789225	1.07321	0.833306	0.896887	1.037598	1.389375
checkedSumNullArgMixed-1	NullInteger	0.727672	0.808397	1.322664	0.769017	0.721986	0.887967	0.693145	0.864479	0.934506	1.329828
checkedSumNullArgMixed-2	NullInteger	0.924018	0.942833	1.555994	0.999532	0.938101	1.198927	0.95374	1.075889	1.163646	1.578143
checkedSumNullArgMixed-3	NullInteger	0.716012	0.759435	1.451454	0.80827	0.714164	1.001995	0.825709	0.911647	0.978355	1.348264
checkedSumNullArgMixed-4	NullInteger	0.836633	0.850308	1.45781	0.862406	0.825514	1.093189	0.862156	0.927275	1.069035	1.465763
checkedSumNullArgMixed-5	NullInteger	0.961745	0.998569	1.801406	1.14806	0.948936	1.387845	1.19391	1.269337	1.474868	2.219956
Fibonacci	Recursive	2.212112	0.006709	2.085294	31.417489	40.710506	0.313272	45.581742	15.210828	0.080915	42.031123
Factorial	Recursive	0.667741	0.682028	1.346066	1.073702	2.732764	0.872999	1.070989	1.06777	2.224376	2.609716
