Test Case	Category	plcsharp	plfsharp	plv8	plpython	plpgsql	pljava	plperl	pllua	pltcl	plr
sumArrayInt	Array	0.349458	0.354118	0.46588	0.349394	0.330562	0.390306	0.421921	0.477644	0.405095	0.51399
sumArrayText	Array	0.403127	0.408161	0.53971	0.409252	0.392535	0.740322	0.485494	0.55429	0.510755	0.672655
returnBool	Bool	0.231383	0.239243	0.32663	0.239485	0.234669	0.297065	0.245154	0.32415	0.266681	0.363077
booleanAnd	Bool	0.302484	0.304812	0.415985	0.305869	0.29554	0.352485	0.312909	0.381743	0.389981	0.453473
booleanOr	Bool	0.301866	0.304385	0.403632	0.308737	0.297304	0.350429	0.314462	0.380799	0.38532	0.450809
booleanXor	Bool	0.30139	0.303033	0.416294	0.312255	0.296461	0.353413	0.312179	0.384725	0.432032	0.487697
retVarChar	Char	0.288912	0.290309	0.393607	0.307174	0.294177	0.471027	0.294574	0.380476	0.340015	0.51673
retConcatVarChar	Char	0.304606	0.30376	0.415576	0.331079	0.304359	0.516001	0.307114	0.394604	0.352688	0.550014
retConcatText	Char	0.306982	0.310641	0.422002	0.334882	0.307468	0.519057	0.31248	0.397153	0.362153	0.559383
retVarCharText	Char	0.307596	0.307336	0.44589	0.328247	0.308712	0.514582	0.314092	0.395567	0.362866	0.55852
retChar	Char	0.285447	0.286213	0.391854	0.301231	0.276343	0.457968	0.293471	0.370352	0.316563	0.4146
retConcatLetters	Char	0.301492	0.300348	0.41324	0.316086	0.304192	0.507484	0.308124	0.386998	0.342871	0.532431
retConcatChars	Char	0.298521	0.298282	0.421172	0.315027	0.303852	0.491047	0.303363	0.391368	0.345591	0.535314
retConcatVarChars-1	Char	0.298936	0.299474	0.41088	0.315781	0.30269	0.487795	0.305234	0.386943	0.341372	0.530681
retConcatVarChars-2	Char	0.301186	0.300457	0.418804	0.322053	0.29909	0.48994	0.304211	0.390116	0.344031	0.532575
retNonRegularEncoding-1	Char	0.288521	0.287448	0.393719	0.301711	0.274415	0.448837	0.288707	0.370481	0.314312	0.404904
retNonRegularEncoding-2	Char	0.297964	0.298347	0.441386	0.317765	0.276656	0.47472	0.296856	0.390863	0.340112	0.414812
retNonRegularEncoding-3	Char	0.286787	0.279709	0.387529	0.30521	0.262485	0.438845	0.286825	0.361517	0.309722	0.40445
retNonRegularEncoding-4	Char	0.310885	0.321587	0.436074	0.329196	0.288066	0.477231	0.303298	0.406417	0.33333	0.437615
returnReal	Float	0.23431	0.237703	0.324162	0.258482	0.239803	0.280729	0.268763	0.31913	0.263998	0.412839
sumReal	Float	0.36331	0.361145	0.455948	0.412184	0.352993	0.397315	0.428288	0.440437	0.448332	0.584862
returnDouble	Float	0.243058	0.232432	0.327786	0.277151	0.244598	0.280965	0.285449	0.320951	0.264808	0.424892
sumDouble	Float	0.365979	0.369295	0.466136	0.417912	0.362873	0.413691	0.451315	0.459834	0.552245	0.626497
maxSmallInt	Integers	0.239489	0.240772	0.332876	0.248185	0.233317	0.289488	0.238832	0.319118	0.262139	0.4248
sum2SmallInt	Integers	0.380951	0.381266	0.48573	0.396479	0.378068	0.431106	0.399049	0.466386	0.470753	0.555807
maxInteger	Integers	0.238784	0.263189	0.333605	0.249552	0.230554	0.292008	0.240369	0.322404	0.26101	0.430245
returnInt	Integers	0.235527	0.237306	0.33365	0.249033	0.231986	0.29243	0.23982	0.32291	0.265122	0.435139
